Sentence1,Sentence2
Does a lecturer have the right to prevent students from making their notes public?,Is it okay to publish my personal notes from a lecture?
,
Does one have to list all publications on a CV?,Should I include a paper with a low impact factor in my CV
,
"Three given names, the second being my calling name: what to put on paper?","Choosing my name as an author when publishing a scientific paper, can I use my ""unofficial"" first name?"
,
Is it dishonest to omit publications in one's CV?,Should I include a paper with a low impact factor in my CV
,
How to make sure that something hasn't been done in the literature and can be studied by me,How can I efficiently check the originality of my work?
,
Still haven't received a reference letter from a professor even though I've reminded them twice about it already,"What can I do one day before admissions deadline, if I believe my recommendation letter writer will not submit in time?"
,
Publication issue of a journal article in Elsevier,What does the typical workflow of a journal look like?
,
ScholarOne manuscript (Taylor and Francis): what the status under review mean?,What does the typical workflow of a journal look like?
,
Admission into a masters program with low CGPA(2.48)?,"How does the admissions process work for Ph.D. programs in the US, particularly for weak or borderline students?"
,
"Is ""Advances in Engineering"" a predatory platform?","With Beall's List gone, how can I tell if a journal is spam?"
,
I have submitted a manuscript by ScholarOne a month and a half ago,What does the typical workflow of a journal look like?
,
"Quit PhD two years ago, now I want to go back?",Going back to academia after quitting my Ph.D. and taking a year off?
,
"Did anyone, currently in tenured/TT position experience low confidence/esteem during their studentship period?","""I've somehow convinced everyone that I'm actually good at this"" - how to effectively deal with Imposter Syndrome"
,
How long does it take for the final editorial decision for an article?,What does the typical workflow of a journal look like?
